kernel_name,ground_truth_label,Compute (SM) Throughput,DRAM Throughput,SM Busy,Mem Pipes Busy,L1/TEX Hit Rate,L2 Hit Rate,L1/TEX Cache Throughput,L2 Cache Throughput,Warp Cycles Per Issued Instruction
atomic_histogram,Latency-Bound,4.72,3.556336633663366,1.2899999999999998,4.72,0.0,88.91306930693071,9.65,9.342079207920792,750.040594059406
bank_conflict,Latency-Bound,0.586039603960396,1.7527722772277228,0.29405940594059404,0.586039603960396,0.0,68.70633663366335,34.4209900990099,1.241089108910891,42.817326732673266
branch_divergence,Memory-Bound,16.5780198019802,93.85514851485149,9.341782178217821,16.5780198019802,45.579702970297035,64.11356435643565,38.65059405940594,39.966237623762375,104.59940594059407
high_reg_pressure,Memory-Bound,12.27940594059406,92.47742574257425,6.667722772277228,12.27940594059406,49.3790099009901,50.02653465346535,18.54158415841584,28.154752475247527,144.65148514851484
naive_matmul,Likely COMPUTE-BOUND,98.76267326732673,37.034554455445544,32.93693069306931,98.76267326732673,87.12643564356436,50.06970297029703,98.84356435643565,22.338217821782177,42.26257425742574
naive_transpose,Memory-Bound,11.687524752475248,67.3540594059406,6.950891089108911,11.687524752475248,55.29554455445545,77.61128712871287,83.01257425742574,72.42425742574258,128.7329702970297
parallel_reduction,MIXED(Compute/Memory),73.48772277227722,69.20118811881188,35.74851485148515,73.48772277227722,0.3,1.5037623762376238,78.37871287128714,16.547227722772277,28.37049504950495
saxpy,Memory-Bound,11.00871287128713,94.14633663366337,5.170594059405941,11.00871287128713,32.13990099009901,33.36287128712871,14.103069306930694,29.456138613861388,190.50851485148516
strided_global,Memory-Bound,6.645940594059406,67.41910891089108,5.5632673267326735,6.645940594059406,0.0,50.042970297029704,21.60831683168317,36.14554455445544,154.1758415841584
tiled_matmul,Compute-Bound,80.91465346534653,22.98950495049505,28.215544554455445,80.91465346534653,0.0,47.373366336633666,81.14752475247525,13.046336633663365,36.35504950495049
tiled_transpose,MIXED(Compute/Memory),70.8540594059406,49.90534653465346,35.715445544554456,70.8540594059406,34.836336633663365,66.38029702970297,71.22732673267326,26.425247524752475,29.91990099009901
